Place,Country,Address,Latitude,Longitude
Pasticceria Elisir,"Belluno, Italy","Pasticceria Elisir, 121, Viale Roma, Santa Caterina, Ponte nelle Alpi, Belluno, Veneto, 32014, Italy",46.1791954,12.2837995
Molo Pub,"Belluno, Italy","Molo Pub, Via Maion, Grava, Sopiazes, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italy",46.5438719,12.1367417
el becalen,"Belluno, Italy","Address not found for el becalen, Belluno, Italy",,
Belvedere,"Belluno, Italy","Belvedere, Longarone, Belluno, Veneto, 32013, Italy",46.2479289,12.2666915
Gelateria Il Cristallo,"Belluno, Italy","Gelateria Il Cristallo, Via XX Settembre, Sottocastello di Cadore, Pieve di Cadore, Belluno, Veneto, 32044, Italy",46.4284648,12.3761631
Pasticceria Elisir,"Belluno, Italy","Pasticceria Elisir, 121, Viale Roma, Santa Caterina, Ponte nelle Alpi, Belluno, Veneto, 32014, Italy",46.1791954,12.2837995
Bar Sport,"Belluno, Italy","Bar Sport, Piazza Papa Luciani, Canale d'Agordo, Belluno, Veneto, 32020, Italy",46.3602929,11.9148522
BLU Club,"Belluno, Italy","Address not found for BLU Club, Belluno, Italy",,
Birraria Bauce,"Belluno, Italy","Birraria Da Bauce, Via Enrico Mattei, Ex Villaggio ENI, Borca di Cadore, Belluno, Veneto, 32040, Italy",46.43009575000001,12.232601608497625
Hacker Pschorr Haus,"Belluno, Italy","Address not found for Hacker Pschorr Haus, Belluno, Italy",,
Snack al Check,"Belluno, Italy","Address not found for Snack al Check, Belluno, Italy",,
Devil Forest Pub,"Belluno, Italy","Address not found for Devil Forest Pub, Belluno, Italy",,
Il Santo Bevitore,"Belluno, Italy","Address not found for Il Santo Bevitore, Belluno, Italy",,
